sensor;locationId;altitude;lat;long;value;dateOriginal;date
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;3.147.128;1665738000000;14/10/2022 9:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;2.981.744;1665741600000;14/10/2022 10:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;3.506.819;1665745200000;14/10/2022 11:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;3.130.866;1665748800000;14/10/2022 12:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;3.076.385;1665752400000;14/10/2022 13:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;3.517.161;1665756000000;14/10/2022 14:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;3.388.971;1665759600000;14/10/2022 15:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;2.863.378;1665763200000;14/10/2022 16:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;3.172.015;1665766800000;14/10/2022 17:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;280.074;1665770400000;14/10/2022 18:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;2.751.727;1665774000000;14/10/2022 19:00
