sensor,locationId,altitude,lat,long,value,units,date
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,3.147128,microgram-per-liter,14/10/2022 9:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.981744,microgram-per-liter,14/10/2022 10:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,3.506819,microgram-per-liter,14/10/2022 11:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,3.130866,microgram-per-liter,14/10/2022 12:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,3.076385,microgram-per-liter,14/10/2022 13:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,3.517161,microgram-per-liter,14/10/2022 14:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,3.388971,microgram-per-liter,14/10/2022 15:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.863378,microgram-per-liter,14/10/2022 16:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,3.172015,microgram-per-liter,14/10/2022 17:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.800740,microgram-per-liter,14/10/2022 18:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.751727,microgram-per-liter,14/10/2022 19:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.639096,microgram-per-liter,14/10/2022 20:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.569121,microgram-per-liter,14/10/2022 21:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.400617,microgram-per-liter,14/10/2022 22:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.383437,microgram-per-liter,14/10/2022 23:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.297078,microgram-per-liter,15/10/2022 0:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.196143,microgram-per-liter,15/10/2022 1:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.135793,microgram-per-liter,15/10/2022 2:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.032336,microgram-per-liter,15/10/2022 3:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.157956,microgram-per-liter,15/10/2022 4:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.953467,microgram-per-liter,15/10/2022 5:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.741846,microgram-per-liter,15/10/2022 6:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.669508,microgram-per-liter,15/10/2022 7:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.587082,microgram-per-liter,15/10/2022 8:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.506819,microgram-per-liter,15/10/2022 9:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.473547,microgram-per-liter,15/10/2022 10:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.693488,microgram-per-liter,15/10/2022 11:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.759777,microgram-per-liter,15/10/2022 12:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.844957,microgram-per-liter,15/10/2022 13:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.034241,microgram-per-liter,15/10/2022 14:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.174074,microgram-per-liter,15/10/2022 15:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.131874,microgram-per-liter,15/10/2022 16:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.040687,microgram-per-liter,15/10/2022 17:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,1.924632,microgram-per-liter,15/10/2022 18:00
chlorophyll,Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3,-3,37.7094,-0.78552,2.025570,microgram-per-liter,15/10/2022 19:00
