ID,SciName,Name,Total,IdUbication,Ubication,Lat,Long,Date
OBS1392576802,Phylloscopus trochilus,Willow Warbler,3,L4652966,Cabo de Palos,376.360.189,-0.6890166,01/05/2021
OBS1415924881,Hippolais polyglotta,Melodious Warbler,1,L4652966,Cabo de Palos,376.360.189,-0.6890166,01/05/2021
OBS1379077181,Lanius senator,Woodchat Shrike,1,L4652966,Cabo de Palos,376.360.189,-0.6890166,01/05/2021
OBS1344504273,Curruca melanocephala,Sardinian Warbler,5,L4652966,Cabo de Palos,376.360.189,-0.6890166,01/05/2021
OBS1340046565,Aythya ferina,Common Pochard,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1339493439,Chloris chloris,European Greenfinch,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1351202805,Circus pygargus,Montagu's Harrier,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1329641210,Cecropis daurica,Red-rumped Swallow,12,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1441973966,Acrocephalus scirpaceus,Common Reed Warbler,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1343235261,Delichon urbicum,Common House-Martin,12,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1335267943,Larus michahellis,Yellow-legged Gull,7,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1438653765,Columba palumbus,Common Wood-Pigeon,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1435789564,Curruca melanocephala,Sardinian Warbler,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1428742952,Columba palumbus,Common Wood-Pigeon,7,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1350688359,Motacilla alba,White Wagtail,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1321416050,Sternula albifrons,Little Tern,20,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1366230014,Calidris alpina,Dunlin,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
OBS1440589608,Charadrius alexandrinus,Kentish Plover,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,02/05/2021
