sensor;locationId;altitude;lat;long;value;dateOriginal;date
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;2.298.651;1665738000000;14/10/2022 9:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;2.265.181;1665741600000;14/10/2022 10:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;2.117.696;1665745200000;14/10/2022 11:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;2.018.705;1665748800000;14/10/2022 12:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.840.635;1665752400000;14/10/2022 13:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;2.000.593;1665756000000;14/10/2022 14:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.883.362;1665759600000;14/10/2022 15:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.811.896;1665763200000;14/10/2022 16:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.982.589;1665766800000;14/10/2022 17:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;200.448;1665770400000;14/10/2022 18:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.823.186;1665774000000;14/10/2022 19:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.825.006;1665777600000;14/10/2022 20:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.715.584;1665781200000;14/10/2022 21:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.727.261;1665784800000;14/10/2022 22:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.773.505;1665788400000;14/10/2022 23:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.706.574;1665792000000;15/10/2022 0:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.697.602;1665795600000;15/10/2022 1:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.655.916;1665799200000;15/10/2022 2:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.648.502;1665802800000;15/10/2022 3:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.617.735;1665806400000;15/10/2022 4:00
turbidez;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.627.195;1665810000000;15/10/2022 5:00
